Dr. Abara is one of the best teachers on campus. He is very knowledgeable and he genuinely cares about his students. I highly recommend his class. Not taking his class would be a big mistake!!! Thank you  Dr.Abara for two semesters of excitement and fun!!! You are truly the best. Capish ?,good,cleaned,Predicted_Feedback,Predicted_Label
"he is arrogant and has anger management issues. He seems nice and funny but soon you realize that he is stalling so as to not teach. If you want to learn, do not take his class. He falls way behind his syllabus, grades unfairly and talks down to students who ask challenging questions.",awful,arrog anger manag issu seem nice funni soon realiz stall teach want learn take class fall way behind syllabu grade unfairli talk student ask challeng question,1,Positive
"Dr. Abara was hilarious!! I felt like I sat through a stand up comedy show every time I attended class. If you put effort into this class, he will put the effort back. I found him to be very fair with his grading. Just do what he tells you and you will be fine! The homework is completely manageable from the lab. I'd recommend him! :]",good,dr abara hilari felt like sat stand comedi show everi time attend class put effort class put effort back found fair grade tell fine homework complet manag lab recommend,1,Positive
"Dr. Abara is a great professor. He truly does have an interest in the success of his students as long as you follow his simple instructions, which is show up for class and while in class pay attention to lecture. Most importantly do not use your cellphone, which makes sense because YOU are in CLASS! Soooo you can't learn while texting...SIMPLE!!",good,dr abara great professor truli interest success student long follow simpl instruct show class class pay attent lectur importantli use cellphon make sens class soooo learn text simpl,1,Positive
"I had professor Abara for PSY 301 during the Spring 2012 semester. I found him entertaining even though he was hard on attendance, but he was still great! He does come to class late- sometimes 30 minutes late which is a BIG problem! For PSY 301 he assigned 3 papers: your short-term goals, long-term goals, and field of interest.",average,professor abara psi spring semest found entertain even though hard attend still great come class late sometim minut late big problem psi assign paper short term goal long term goal field interest,1,Positive
"He is the best teacher!! If you are willing to put in the work and care about your grade, he will be there to help you succeed! He is really funny too! Take good notes and read what he tells you to read--you will do well!",awesome,best teacher will put work care grade help succeed realli funni take good note read tell read well,1,Positive
This professor lost 3 out of 6 of my tests. Luckily I had proof of my tests or else I would have gotten an F. Plus he was such a hassle the whole break and almost the whole next semester to change my grade.,poor,professor lost test luckili proof test els would gotten f plu hassl whole break almost whole next semest chang grade,1,Positive
Professor Abara was a great teacher. His class was a good pace and very entertaining and easy to understand.,awesome,professor abara great teacher class good pace entertain easi understand,1,Positive
Great explanations. Professor is good at explaining and getting the whole class involved. Class was fairly easy just be sure to attend classes and on time.!,good,great explan professor good explain get whole class involv class fairli easi sure attend class time,1,Positive
"Very knowledgeable & entertaining professor. The class does require effort, tests are difficult, but he's generous with test grading. Book was useful as a supplement to his lecture notes, therefore class attendance is crucial. Overall a great professor.",average,knowledg entertain professor class requir effort test difficult gener test grade book use supplement lectur note therefor class attend crucial overal great professor,1,Positive
"He is funny, but unclear. I had him for 301, a 1-unit class and it felt like a 3-unit class with all the papers that were due. I would not recommend him. Unclear and unreliable.",poor,funni unclear unit class felt like unit class paper due would recommend unclear unreli,1,Positive
